source,target,value
0,4,100
1,2,200
2,0,199
3,14,0
4,34,285
5,0,0
5,4,0
5,6,0
5,18,0
5,60,0
6,2,108
6,16,108
6,92,108
7,4,0
7,16,0
7,130,0
8,0,0
8,56,0
8,174,0
9,224,0
10,280,0
11,0,0
11,2,0
11,12,0
11,20,0
11,66,0
11,112,0
11,342,0
12,4,63
12,56,63
12,410,63
13,484,0
14,0,50
14,4,50
14,6,50
14,18,50
14,24,50
14,60,50
14,78,50
14,186,50
14,564,50
15,650,0
16,2,103
16,146,103
16,742,103
17,0,0
17,278,0
17,840,0
18,944,94
19,4,0
19,148,0
20,0,79
20,14,79
20,20,79
20,48,79
20,66,79
20,388,79
21,2,0
21,4,0
21,32,0
21,34,0
21,182,0
21,256,0
22,22,0
23,0,0
23,6,0
23,170,0
23,516,0
24,24,37
25,16,0
25,94,0
26,0,0
26,2,0
26,4,0
26,12,0
26,16,0
26,18,0
26,32,0
26,54,0
26,92,0
26,102,0
26,130,0
26,282,0
26,396,0
26,662,0
27,27,0
28,4,0
28,328,0
29,0,0
29,826,0
30,30,0
31,2,0
31,566,0
32,0,53
32,6,53
32,334,53
33,4,0
33,458,0
34,20,52
34,146,52
35,0,0
35,4,0
35,18,0
35,170,0
35,516,0
36,2,0
36,766,0
37,14,0
37,236,0
38,0,0
39,39,0
40,4,0
40,46,0
40,94,0
40,676,0
41,0,0
41,2,0
41,6,0
41,12,0
41,24,0
41,34,0
41,42,0
41,108,0
41,132,0
41,182,0
41,330,0
41,552,0
41,996,0
42,4,18
42,46,18
42,104,18
42,746,18
43,20,0
43,236,0
44,0,0
44,16,0
44,54,0
44,98,0
44,300,0
45,16,0
45,314,0
46,2,39
47,0,0
47,4,0
47,18,0
47,310,0
47,936,0
48,48,20
49,4,0
50,0,0
50,6,0
50,824,0